"videoId","title","filename","publishedAt","bang_count"
"cr_3bq6kSKI","Hardcore Ironman Road to a Shard of Genesis and T95 Mage! | The RS Guy VODS","Hardcore Ironman Road to a Shard of Genesis and T95 Mage!  The RS Guy VODS.txt","2024-09-04T19:49:58Z",12
"QKYYlz6gTNw","Hardcore Ironman 2 Shards of Genesis in 4 Kills!!  Road to T95 Mage! | The RS Guy VODS","Hardcore Ironman 2 Shards of Genesis in 4 Kills!!  Road to T95 Mage!  The RS Guy VODS.txt","2024-09-04T19:46:36Z",14
"S3M0jmPE2og","Hardcore Ironman Adventure! Ritual of the Mahjarrhat and Desert Questline! | The RS Guy VODS","Hardcore Ironman Adventure! Ritual of the Mahjarrhat and Desert Questline!  The RS Guy VODS.txt","2024-09-04T19:46:32Z",35
"vqFwFwS_Da4","(Hardcore Ironman) Offhand off full t95 Magic!! Let's get it! | The RS Guy VODS","(Hardcore Ironman) Offhand off full t95 Magic!! Let's get it!  The RS Guy VODS.txt","2024-09-04T19:29:50Z",7
"HRBvO80UlVg","78 Combat Zuk Cape! (Record) | The RS Guy vods","78 Combat Zuk Cape! (Record)  The RS Guy vods.txt","2024-08-18T18:54:42Z",16
"52m7XKYiujQ","Road to the Lowest Level Zuk Cape in RS History! RS GUY Vods","Road to the Lowest Level Zuk Cape in RS History! RS GUY Vods.txt","2024-08-17T00:13:39Z",33
"ehL4lzySs5g","Making a Brand-New, t100 masterwork sword! | The RS Guy Vods","Making a Brand-New, t100 masterwork sword!  The RS Guy Vods.txt","2024-08-13T13:39:03Z",15
"o3cFz4cSSJQ","1-99 firemaking in RuneScape in 1 continuous gameplay session | The RS Guy VODS","1-99 firemaking in RuneScape in 1 continuous gameplay session  The RS Guy VODS.txt","2024-08-13T05:28:45Z",5
"Icz7WZzEhpk","100 HM Nakatra kills, 0 wands, 0 Orbs, 0 Shards of Genesis | The RS Guy Vods","100 HM Nakatra kills, 0 wands, 0 Orbs, 0 Shards of Genesis  The RS Guy Vods.txt","2024-08-08T06:15:09Z",8
"yN5GofKaiLg","Road to HCIM Devourer Aura! 74 HM KC start | The RS Guy Vods","Road to HCIM Devourer Aura! 74 HM KC start  The RS Guy Vods.txt","2024-08-07T05:06:05Z",21
