"videoId","title","filename","publishedAt","bang_count"
"tHxzTbCNhs4","Skilling to the max episode 3!","Skilling to the max episode 3!.txt","2013-09-18T16:53:56Z",0
"tEqfdfe9Ipk","Boss Commentary #4 : First corp solo!","Boss Commentary #4  First corp solo!.txt","2013-09-07T18:14:46Z",0
"i_zMiKCvlxA","Pk Commentary #1 ft. my brother! ""three lives""","Pk Commentary #1 ft. my brother! three lives.txt","2013-08-10T13:11:21Z",0
"cc45bl7XE4c","Skilling to the Max episode two!","Skilling to the Max episode two!.txt","2013-08-06T20:31:03Z",0
"PRdPokiwiGI","Skilling To The MAX episode 1!","Skilling To The MAX episode 1!.txt","2013-07-24T16:11:16Z",0
"3aBCeInEGBk","Runescape detailed low level Queen Black Dragon (QBD) Guide! [outdated]","Runescape detailed low level Queen Black Dragon (QBD) Guide! [outdated].txt","2013-07-16T06:46:13Z",0
"BCaE0RidxC8","Road to max/quest cape! Tell me what you guys think!","Road to maxquest cape! Tell me what you guys think!.txt","2013-07-15T22:23:33Z",0
"QVoP2uuo_bY","In-Depth Queen Black Dragon guide *High level* 2014 ( 2-5m+/hour) [outdated]","In-Depth Queen Black Dragon guide High level 2014 ( 2-5m+hour) [outdated].txt","2013-06-28T04:36:34Z",0
"kgoIPQBpx-g","Twitch is working!!! :) preparing to stream!","Twitch is working!!! ) preparing to stream!.txt","2013-05-14T01:54:36Z",0
"vDIcDF5nGe4","Old School progress video!","Old School progress video!.txt","2013-05-09T01:33:46Z",1
"j7sV5fLPvPY","Welcome to the channel :) (re-upload with fixes)","Welcome to the channel ) (re-upload with fixes).txt","2013-04-27T05:51:24Z",0
"K0NNUAidUHk","Pre-EOC Dharok pk video","Pre-EOC Dharok pk video.txt","2013-04-25T22:46:07Z",0
